Higher Topic,Focus Area Code,Focus Area name,Content
Space Operations,Topic O1,Space Communications,"
 NASA's communications capability is based on the premise that communications shall enable and not constrain missions. Communications must be robust to support the numerous missions for space science, Earth science and exploration of the universe. Technologies such as optical communications, RF including antennas and ground based Earth stations, surface networks, cognitive networks, access links, reprogrammable communications systems, advanced antenna technology, transmit array concepts, and communications in support of launch services including space based assets are very important to the future of exploration and science activities of the Agency. Emphasis is placed on size, weight and power improvements, and even greater emphasis is placed on these attributes as small satellites (e.g., micro and nano satellite) technology matures. Communication technologies enabling acquisition of range safety data from sensitive instruments is imperative. Innovative solutions centered on operational issues are needed in all of the aforementioned areas. All technologies developed under this topic area to be aligned with the Architecture Definition Document and technical direction as established by the NASA Office of Space Communications and Navigation (SCaN). For more details, see: (https:/www.spacecomm.nasa.gov/spacecomm/, https://www.spacecomm.nasa.gov/spacecomm/programs/default.cfm, https://www.spacecomm.nasa.gov/spacecomm/programs/technology/default.cfm,
https://www.spacecomm.nasa.gov/spacecomm/programs/technology/sbir/default.cfm). A typical approach for flight hardware would include: Phase I - Research to identify and evaluate candidate telecommunications technology applications to demonstrate the technical feasibility and show a path towards a hardware/software demonstration. Bench or lab-level demonstrations are desirable. Phase II - Emphasis should be placed on developing and demonstrating the technology under simulated flight conditions. The proposal shall outline a path showing how the technology could be developed into space-worthy systems. The contract should deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract. Some of the subtopics in this topic could result in products that may be included in a future flight opportunity or on-orbit testing. Please see the following for more details: 

   NASA Office of the Chief Technologist: (http://www.nasa.gov/offices/oct/home/index.html, http://www.nasa.gov/offices/oct/game_changing_technology/small_satellite_subsystem_tech/index.html, http://www.nasa.gov/offices/oct/crosscutting_capability/index.html). 
 International Space Station payload opportunities: (http://www.nasa.gov/mission_pages/station/research/nlab/index.html, http://www.nasa.gov/mission_pages/station/research/experiments_category.html).
 CoNNeCT (Communications, Navigation & Networking Reconfigurable Testbed): (http://spaceflightsystems.grc.nasa.gov/SpaceOps/CoNNeCT/). 
 Terrestrial analogs (Desert Rats, Haughton Field):( http://science.ksc.nasa.gov/d-rats/, http://ti.arc.nasa.gov/tech/asr/intelligent-robotics/haughton-field/).
 SMD Topic S4 for more details concerning requirements for Small Satellite flight opportunities. NOTE: Communications technologies relevant to space-based range are solicited for in Space Transportation Subtopic O2.03 - 21st Century Spaceport Ground System Technologies."
Space Operations,Topic O2,Space Transportation,"
 Achieving space flight remains a challenging enterprise. It is an undertaking of great complexity, requiring numerous technological and engineering disciplines and a high level of organizational skill. Overcoming Earth's gravity to achieve orbit demands collections of quality data to maintain the security required of the range. The harsh environment of space puts tight constraints on the equipment needed to perform the necessary functions. Not only is there a concern for safety but the 2004 Space Transportation Policy directive states that the U.S. should maintain robust transportation capabilities to assure access to space. This crosscutting SBIR Topic seeks to enable commercial solutions for U.S. space transportation systems providing significant reductions in cost, and increases in reliability, flight-rate, and frequency of access to space. The goal is a breakthrough in cost and reliability for a wide range of payload sizes and types (including passenger transportation) supporting future orbital flight that can be demonstrated on interim suborbital vehicles. The vision is a competitive marketplace with multiple commercial providers of highly-reusable space transportation systems and services with aircraft-like operations, high-flight rates, and short turnaround times (days-to-hours, rather than months). Lower cost and reliable space access will provide significant benefits to civil space (human and robotic exploration beyond Earth as well as Earth science), to commercial industry, to educational institutions, for support to the International Space Station National Laboratory, and to national security. While other strategies can support frequent, low-cost and reliable space access, this topic focuses on the technologies that dramatically alter reusability, reliability and operability of next generation space access systems."
Space Operations,Topic O3,Processing and Operations,"
 The Space Operations Mission Directorate (SOMD) provides mission critical space exploration services to both NASA customers and to other partners within the U.S. and throughout the world: from flying out the Space Shuttle, to assembling and operating the International Space Station; ensuring safe and reliable access to space; maintaining secure and dependable communications between platforms across the solar system; and ensuring the health and safety of our Nation's astronauts. Activities include ground-based and in-flight processing and operations tasks, along with support that ensures these tasks are accomplished efficiently and accurately enables successful missions and healthy crews. This topic area, while largely focused on operational space flight activities, is broad in scope. NASA is seeking technologies that address how to improve and lower costs related to ground and flight assets, and maximize and extend the life of the International Space Station. A typical flight focused approach would include: 

   Phase I: Research to identify and evaluate candidate technology applications to demonstrate the technical feasibility and show a path towards a hardware/software demonstration. Bench or lab-level demonstrations are desirable. 
 Phase II: Emphasis should be placed on developing and demonstrating the technology under simulated flight conditions. 


 The proposal shall outline a path showing how the technology could be developed into space-worthy systems. For ground processing and operations tasks, the proposal shall outline a path showing how the technology could be developed into ground or flight systems. The contract shall deliver a demonstration unit for functional and environmental testing at the completion of the Phase II contract and, if possible, demonstrate earth based uses or benefits."
Space Operations,Topic O4,Navigation,"
 NASA seeks innovative research in the areas of positioning, navigation, and timing (PNT) that have relevance to Space Communications and Navigation programs and goals, as described at (https://www.spacecomm.nasa.gov/spacecomm/default.cfm). NASA's Space Communication and Navigation Office considers the three elements of PNT to represent distinct, constituent capabilities: - positioning, by which we mean accurate and precise determination of an asset's location and orientation referenced to a coordinate system - navigation, by which we mean determining an asset's current and/or desired absolute or relative position and velocity state, and applying corrections to course, orientation, and velocity to attain achieve the desired state - timing, by which we mean an asset's acquiring from a standard, maintaining within user-defined parameters, and transferring where required, an accurate and precise representation of time. This year, NASA seeks technology in Metric Tracking of Launch Vehicles, Position, Navigation, and Timing (PNT) Sensors and Components, and Flight Dynamics Technologies and Software. These areas include tracking during launch and landing operations, and research and technology relevant to the planning and development of PNT support and services that NASA may undertake over the next several years. Some of the subtopics in this topic could result in products that may be included in future flight opportunities. Please see the Science MD Topic S4 for more details as to the requirements for small satellite flight opportunities, and the Facilitated Access to the Space Environment for Technology Development and Training (FAST) website at (http://ipp.nasa.gov/ii_fast.htm)."
Aeronautics Research,Topic A1,Aviation Safety,"
 The Aviation Safety Program conducts fundamental research and technology development of known and predicted safety concerns as the nation transitions to the Next Generation Air Transportation System (NextGen). Future challenges to maintaining aviation safety arise from expected significant increases in air traffic, continued operation of legacy vehicles, introduction of new vehicle concepts, increased reliance on automation, and increased operating complexity. Further design challenges also exist where safety barriers may prevent the technical innovations necessary to achieve NextGen capacity and efficiency goals. The program seeks capabilities furthering the practice of proactive safety management and design methodologies and solutions to predict and prevent safety issues, to monitor for them in-flight and mitigate against them should they occur, to analyze and design them out of complex system behaviors, and to constantly analyze designs and operational data for potential hazards. AvSP's top ten technical challenges are: 

   Assurance of Flight Critical Systems. 
 Discovery of Safety Issues. 
 Automation Design Tools. 
 Prognostic Algorithm Design. 
 Vehicle Health Assurance. 
 Crew-System Interactions and Decisions. 
 Loss of Control Prevention, Mitigation, and Recovery. 
 Engine Icing. 
 Airframe Icing. 
 Atmospheric Hazard Sensing and Mitigation. 


 AvSP includes three research projects: 

 The System-wide Safety Assurance Technologies Project provides knowledge, concepts and methods to proactively manage increasing complexity in the design and operation of vehicles and the air transportation systems, including advanced approaches to enable improved and cost-effective verification and validation of flight-critical systems. 

 The Vehicle Systems Safety Technologies Project provides knowledge, concepts and methods to avoid, detect, mitigate, and recover from hazardous flight conditions, and to maintain vehicle airworthiness and health. 

 The Atmospheric Environment Safety Technologies Project investigates sources of risk and provides technology needed to help ensure safe flight in and around atmospheric hazards. 

 NASA seeks highly innovative proposals that will complement its work in science and technologies that build upon and advance the Agency's unique safety-related research capabilities vital to aviation safety. Additional information is available at (http://www.aeronautics.nasa.gov/programs_avsafe.htm)."
Aeronautics Research,Topic A2,Fundamental Aeronautics,"
 The Fundamental Aeronautics Program conducts cutting-edge research to achieve technological capabilities necessary to overcome national challenges in air transportation including reduced noise, emissions, and fuel consumption, increased mobility through a faster means of transportation, and the ability to ascend/descend through planetary atmospheres. These technological capabilities enable design solutions for performance and environmental challenges of future air vehicles. Research in revolutionary aircraft configurations, lighter and stronger materials, improved propulsion systems, and advanced concepts for high lift and drag reduction all target the efficiency and environmental compatibility of future air vehicles. The program develops physics-based, multidisciplinary design, analysis and optimization tools to enable evaluation of new vehicle designs and to assess the potential impact of design innovations on a vehicle's overall performance. The FA Program consists of four projects: 

   Subsonic Fixed Wing addresses the challenge of enabling revolutionary energy efficiency improvements of subsonic/transonic transport aircraft that dramatic reduce harmful emissions and noise for sustained growth of the air transportation system Improvements in prediction tools and new experimental methods Noise prediction and reduction technologies for airframe and propulsion systems Emissions reduction technologies and prediction tools Improved vehicle performance through design and development of lightweight, multifunctional and durable structural components, low drag aerodynamic components, and higher bypass ratio engines with efficient power plants, and advanced aircraft configurations Reduce take off and landing field length requirements Multi-disciplinary design and analysis tools and processes. 
 Subsonic Rotary Wing addresses the challenge of radically improving the transportation system using rotary wing vehicles by increasing speed, range, and payload while decreasing noise and emissions. Enable variable-speed rotor concepts Contain the external noise within the landing area and reduce internal noise Assess multiple active rotorcraft concepts Advance technologies such as crashworthiness, safe operations in icing conditions, and condition based maintenance methodologies. 
 Supersonics addresses the challenge of eliminating the environmental and performance barriers that prevent practical supersonic vehicles (cruise efficiency, noise and emissions, performance) Efficiency (supersonic cruise, light weight and durability at high temperature) Jet noise reduction relative to an unsuppressed jet Light weight and durability at high temperature) Environmental challenges (airport noise, sonic boom, high altitude emissions) Performance challenges (aero-propulso-servo-elastic analysis and design, cruise lift/drag ratio) Multidisciplinary design, analysis and optimization challenges. 
 Hypersonics addresses the challenge of enabling airbreathing access to space and high mass entry, descent, and landing into planetary atmospheres Fundamental research to enable very-high speed flight (for airbreathing launch vehicles) and Entry, Descent and Landing into planetary atmospheres High-temperature materials, thermal protection systems (single and multi-use), airbreathing propulsion, aero-thermodynamics, multi-disciplinary analysis and design, guidance, navigation, and control, advanced experimental capabilities, and supersonic decelerator technologies Accurate predictive models for high-speed compressible flow including turbulence, heating, ablation, combustion, and their interactions in order to reduce the uncertainty in predictions of aerodynamic heat loads during the design of hypersonic vehicles Additional information: (http://www.aeronautics.nasa.gov/fap/index.html)."
Aeronautics Research,Topic A3,Airspace Systems,"
 NASA's Airspace Systems Program (ASP) is investing in the development, validation and transfer of advanced innovative concepts, technologies and procedures to support the development of the Next Generation Air Transportation System (NextGen). This investment includes partnerships with other government agencies represented in the Joint Planning and Development Office (JPDO), including the Federal Aviation Administration (FAA) and joint activities with the U.S. aeronautics industry and academia. As such, ASP will develop and demonstrate future concepts, capabilities, and technologies that will enable major increases in air traffic management effectiveness, flexibility, and efficiency, while maintaining safety, to meet capacity and mobility requirements of NextGen. ASP integrates the two projects NextGen Concepts and Technology Development (CTD) and NextGen Systems Analysis Integration and Evaluation (SAIE), to directly address the fundamental research needs of NextGen vision in partnership with the member agencies of the JPDO. The CTD develops and explores fundamental concepts, algorithms, and air-borne and ground-based technologies to increase capacity and throughput of the national airspace system, to address demand-capacity imbalances, and achieve high efficiency in the use of resources such as airports, en route and terminal airspace. The SAIE Project is responsible for facilitating the Research and Development maturation of integrated concepts through evaluation in relevant environments, providing integrated solutions, characterizing airspace system problem spaces, defining innovative approaches, and assessing the potential system impacts and design ramifications of the program's portfolio. Together, the projects will also focus NASA's technical expertise and world-class facilities to address the question of where, when, how and the extent to which automation can be applied to moving air traffic safely and efficiently through the NAS and technologies that address optimal allocation of ground and air technologies necessary for NextGen. Additionally, the roles and responsibilities of humans and automation influence in the ATM will be addressed by both projects. Key objectives of NASA's AS Program are to: 

   Improve mobility, capacity, efficiency and access of the airspace system. 
 Improve collaboration, predictability, and flexibility for the airspace users. 
 Enable accurate modeling and simulation of air transportation systems. 
 Accommodate operations of all classes of aircraft.
 Maintain system safety and environmental protection."
Aeronautics Research,Topic A4,Aeronautics Test Technologies,"
 The Aeronautics Test Program (ATP) ensures the long term availability and health of NASA's major wind tunnels/ground test facilities and flight operations/test infrastructure that support NASA, DoD and U.S. industry research and development (R&D) and test and evaluation (T&E) requirements. Furthermore, ATP provides rate stability to the aforementioned user community. The ATP facilities are located at four NASA Centers made up of the Ames Research Center, Dryden Flight Research Center, Glenn Research Center and Langley Research Center. Classes of facilities within the ATP include low speed, transonic, supersonic, and hypersonic wind tunnels, hypersonic propulsion integration test facilities, air-breathing engine test facilities, the Western Aeronautical Test Range (WATR), support & test bed aircraft, and the simulation and loads laboratories. A key component of ensuring a test facility's long-term viability is to implement and continually improve on the efficiency and effectiveness of that facility's operations along with developing new technologies to address the nation's future aerospace challenges. To operate a facility in this manner requires the use of state-of-the-art test technologies and test techniques, creative facility performance capability enhancements, and novel means of acquiring test data. NASA is soliciting proposals in the areas of instrumentation, test measurement technology, test techniques and facility development that apply to the ATP facilities to help in achieving the ATP goals of sustaining and improving our test capabilities. Proposals that describe products or processes that are transportable across multiple facility classes are of special interest. The proposals will also be assessed for their ability to develop products that can be implemented across government-owned, industry and academic institution test facilities. Additional information: http://www.aeronautics.nasa.gov/atp/index.html."
Aeronautics Research,Topic A5,Integrated System Research Project  (ISRP),"
 The Integrated Systems Research Program (ISRP), a new program effort that began in FY10, will conduct research at an integrated system-level on promising concepts and technologies and explore, assess or demonstrate their benefits in a relevant environment. The integrated system-level research in this program will be coordinated with on-going long-term, foundational research within the three other research programs, as well as efforts within other Federal Government agencies. As the NextGen evolves to meet the projected growth in demand for air transportation, researchers must address the national challenges of mobility, capacity, safety, and energy and the environment in order to meet the expected growth in air traffic. In particular, the environmental impacts of noise and emissions are a growing concern and could limit the ability of the system to accommodate growth. ISRP will explore and assess new vehicle concepts and enabling technologies through system-level experimentation to simultaneously reduce fuel burn, noise and emissions, and will focus specifically on maturing and integrating technologies in major vehicle systems/subsystems for accelerated transition to practical application. ISRP is comprised of two projects - the Environmentally Responsible Aviation (ERA) Project and the Unmanned Aircraft Systems (UAS) Integration in the National Airspace System (NAS) Project. Environmentally Responsible Aviation (ERA) The project's primary goal is to select vehicle concepts and technologies that can simultaneously reduce fuel burn, noise and emissions; it contains three subprojects: Airframe Technology, Propulsion Technology and Vehicle Systems Integration.

   Testing unconventional aircraft configurations that have higher lift to drag ratio, reduced drag and reduced noise around airports. 
 Achieving drag reduction through laminar flow. 
 Developing composite (nonmetallic) structural concepts to reduce weight and improve fuel burn; and 
 Testing advanced, fuel-flexible combustor technologies that can reduce engine NOx emissions. The Unmanned Aircraft Systems (UAS) Integration in the National Airspace System (NAS) The project's primary goal is to address technology development in several areas to reduce the technical barriers related to the safety and operational challenges of UAS routine operations in the NAS. 
 Separation Assurance - Safely and seamlessly integrate UAS into NextGen separation assurance through demonstrate of 4DT applications that result in the same or fewer losses of separation as traditional separation services. 
 Human Systems Integration - Demonstrate reduced workload of UAS pilots by advanced interface design and automation; Collect Human in the Loop (HITL) data to apply to computational model that provides for 100% situational awareness of aircraft within 5 nm and 1200 ft; and Develop at standard against which to assess UAS ground control stations. 
 Communication - Demonstrate a secure UAS command and control datalink which meets communication confidentiality, availability and integrity requirements and which meets FAA communication latency requirements. Certification - Document applicability of possible certification method meeting airworthiness requirements for the full range of UAS and collect UAS-specific data in a civil context to support development of standards and regulations. 
 Integrated Test and Evaluation - Creation of an appropriate test environment; Integration of the technical research to probe and evaluate the concepts; and Coordination and prioritization of facility and aircraft schedules."
Science,Topic S1,"Sensors, Detectors and Instruments","
 NASA's Science Mission Directorate (SMD) (http://nasascience.nasa.gov/) encompasses research in the areas of Astrophysics (http://nasascience.nasa.gov/astrophysics), Earth Science (http://nasascience.nasa.gov/earth-science), Heliophysics (http://nasascience.nasa.gov/heliophysics), and Planetary Science (http://nasascience.nasa.gov/planetary-science). A major objective of SMD instrument development programs is to implement science measurement capabilities with smaller or more affordable spacecraft so development programs can meet multiple mission needs and therefore make the best use of limited resources. The rapid development of small, low-cost remote sensing and in situ instruments is essential to achieving this objective. For Earth Science needs, in particular, the subtopics reflect a focus on instrument development for airborne and Unmanned Aerial Vehicle (UAV) platforms. Astrophysics has a critical need for sensitive detector arrays with imaging, spectroscopy, and polarimetric capabilities, which can be demonstrated on ground, airborne, balloon, or suborbital rocket instruments. Heliophysics, which focuses on measurements of the sun and its interaction with the Earth and the other planets in the solar system, needs a significant reduction in the size, mass, power, and cost for instruments to fly on smaller spacecraft. Planetary Science has a critical need for miniaturized instruments with in situ sensors that can be deployed on surface landers, rovers, and airborne platforms. For planetary missions, planetary protection requirements vary by planetary destination, and additional backward contamination requirements apply to hardware with the potential to return to Earth (e.g., as part of a sample return mission). Technologies intended for use at/around Mars, Europa (Jupiter), and Enceladus (Saturn) must be developed so as to ensure compliance with relevant planetary protection requirements. Constraints could include surface cleaning with alcohol or water, and/or sterilization treatments such as dry heat (approved specification in NPR 8020.12; exposure of hours at 115C or higher, non-functioning); penetrating radiation (requirements not yet established); or vapor-phase hydrogen peroxide (specification pending). For the 2011 program year, we are encouraging proposals for two new subtopics, S1.10 for technologies in support of atomic interferometry to enable precise targeting, pointing, and tracking and S1.11 for technologies in support of the specific needs of planetary orbital remote sensing instruments. A key objective of this SBIR topic is to develop and demonstrate instrument component and subsystem technologies that reduce the risk, cost, size, and development time of SMD observing instruments and to enable new measurements. Proposals are sought for development components that can be used in planned missions or a current technology program. Research should be conducted to demonstrate feasibility during Phase I and show a path towards a Phase II prototype demonstration. The following subtopics are concomitant with these objectives and are organized by technology."
